Name,Link,College,Description,Considered on General Application?,Award,Deadline
Leona Stanford Vollintine Scholarship ,https://colorado.academicworks.com/opportunities/22602 ,None, The Leona Stanford Vollintine Scholarship is available to full-time students majoring in areas which support the public welfare (i.e. teaching education criminal justice health care sciences etc.)  Awarded on the basis of academic merit and financial need.The Leona Stanford Vollintine Scholarship is available to full-time students majoring in areas which support the public welfare (i.e. teaching education criminal justice health care sciences etc.)  Awarded on the basis of academic merit and financial need. ,True,$2500.00 ,03/15/2024
Leonard and Anna Fair Scholarship for Modern Languages in Arts and Sciences ,https://colorado.academicworks.com/opportunities/22807 ,College of Arts & Sciences, The Leonard & Anna Fair Scholarship is awarded to students who meet the following criteria:  Rising Junior or Senior enrolled full-time with a declared major or minor in French German or Spanish in the College of Arts & Sciences. Colorado resident. U.S. citizen or permanent resident/resident alien.  GPA of 3.0 or higher. Demonstrated financial need as determined by the FASFA. Complete the CU Boulder General Scholarship Application.  Preference will be given to students who demonstrate a desire to contribute to society through their activities or choice of career.The Leonard & Anna Fair Scholarship is awarded to students who meet the following criteria: Rising Junior or Senior enrolled full-time with a declared major or minor in French German or Spanish in the College of Arts & Sciences. Colorado resident. U.S. citizen or permanent resident/resident alien.  GPA of 3.0 or higher. Demonstrated financial need as determined by the FASFA. Complete the CU Boulder General Scholarship Application. Preference will be given to students who demonstrate a desire to contribute to society through their activities or choice of career. ,True,upto$1000 ,03/15/2024
Leonard M. Baca Endowed Scholarship Fund ,https://colorado.academicworks.com/opportunities/23389 ,School of Education, The Leonard Baca Scholarship was established in honor of Dr. Leonard Baca a leader in the field of Bilingual Special Education. For nearly 40 years Dr. Baca served as Executive Director of the BUENO Center for Multicultural Education and made a tremendous impact on students at all ages of their learning. To continue his legacy this scholarship will be awarded to students previously enrolled in the College Assistance Migrant Program (CAMP) who are now applying or enrolled at the University of Colorado Boulder in any major. In the instance that a prior CAMP student does not apply this scholarship may be given to a culturally and linguistally diverse student.The Leonard Baca Scholarship was established in honor of Dr. Leonard Baca a leader in the field of Bilingual Special Education. For nearly 40 years Dr. Baca served as Executive Director of the BUENO Center for Multicultural Education and made a tremendous impact on students at all ages of their learning. To continue his legacy this scholarship will be awarded to students previously enrolled in the College Assistance Migrant Program (CAMP) who are now applying or enrolled at the University of Colorado Boulder in any major. In the instance that a prior CAMP student does not apply this scholarship may be given to a culturally and linguistally diverse student. ,False,Varies ,03/15/2024
Lesbian Gay Bisexual Transgender Queer Alumni Association Scholarship ,https://colorado.academicworks.com/opportunities/22707 ,Alumni Association, The Lesbian Gay Bisexual Transgender Queer Alumni Association Scholarship is for continuing graduate or undergraduate students who have a record of commitment to the lesbian gay bisexual transgender queer and/or their allies communities. Please note that this scholarship cannot be received more than twice. The Lesbian Gay Bisexual Transgender Queer Alumni Association supports students who are working to improve inclusiveness equity and justice within the CU Boulder campus and community.The Lesbian Gay Bisexual Transgender Queer Alumni Association Scholarship is for continuing graduate or undergraduate students who have a record of commitment to the lesbian gay bisexual transgender queer and/or their allies communities. Please note that this scholarship cannot be received more than twice.The Lesbian Gay Bisexual Transgender Queer Alumni Association supports students who are working to improve inclusiveness equity and justice within the CU Boulder campus and community. ,False,$2000 ,03/15/2024
Lester C. Thomas Schlp-CMCI ,https://colorado.academicworks.com/opportunities/22696 ,College of Media Communication and Information, The Lester C. Thomas Scholarship was created with a bequest from the Diane H. Lester estate to recognize Lester C. Thomas.  Students in the College of Media Communication and Information are eligible to apply.The Lester C. Thomas Scholarship was created with a bequest from the Diane H. Lester estate to recognize Lester C. Thomas.  Students in the College of Media Communication and Information are eligible to apply. ,True,$3000.00 ,03/15/2024
Leticia R. and Michael J. Tomczak Memorial Scholarship ,https://colorado.academicworks.com/opportunities/22662 ,03/15/2024, The Tomczak Memorial Scholarship supports undergraduate students who have experienced loss. Recipients must submit an essay on how their loss has affected them and must demonstrate financial need. The scholarship was created by a CU Boulder alum John Michael Tomczak in loving memory of his parents. John Michael sadly lost his mother while a student at CU and was left to help his father run the family business while finishing a double degree in broadcast journalism and evolutionary biology. It became the toughest period of his life and he seeks to support other students who have overcome unspeakable loss and grief to attend the university as a way to honor his parents’ legacy. For consideration students must:  Complete the CU Boulder General Scholarship Application by the deadline Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Complete the supplemental questions for this scholarship  This is a renewable award of ~$1000 which you can receive for up to a maximum of 4 years (8 semesters) total as long as each semester you:  Enroll in and earn a minimum of 12 credit hours Meet Satisfactory Academic Progress. The Tomczak Memorial Scholarship supports undergraduate students who have experienced loss. Recipients must submit an essay on how their loss has affected them and must demonstrate financial need. The scholarship was created by a CU Boulder alum John Michael Tomczak in loving memory of his parents. John Michael sadly lost his mother while a student at CU and was left to help his father run the family business while finishing a double degree in broadcast journalism and evolutionary biology. It became the toughest period of his life and he seeks to support other students who have overcome unspeakable loss and grief to attend the university as a way to honor his parents’ legacy.For consideration students must: Complete the CU Boulder General Scholarship Application by the deadline Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Complete the supplemental questions for this scholarship This is a renewable award of ~$1000 which you can receive for up to a maximum of 4 years (8 semesters) total as long as each semester you: Enroll in and earn a minimum of 12 credit hours Meet Satisfactory Academic Progress.  ,False,$1000 ,03/15/2024
Levy Family Scholarship ,https://colorado.academicworks.com/opportunities/22496 ,Leeds School of Business, The Levy scholarship is a one time award given to an outstanding student in the Diverse Scholars Program. In order to receive your scholarship funds you must remain a full-time student in good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Levy scholarship is a one time award given to an outstanding student in the Diverse Scholars Program. In order to receive your scholarship funds you must remain a full-time student in good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,Varies ,03/15/2024
Lewis Family Scholarship ,https://colorado.academicworks.com/opportunities/23417 ,Leeds School of Business, The Lewis Family Scholarship is a renewable scholarship. Selection is based on high academic merit. In order to receive your scholarship funds you must remain a full-time student in good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Lewis Family Scholarship is a renewable scholarship. Selection is based on high academic merit. In order to receive your scholarship funds you must remain a full-time student in good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$5000 ,03/15/2024
Lichtenwalter Family Scholarship ,https://colorado.academicworks.com/opportunities/22650 ,Leeds School of Business, To provide undergraduate scholarship awards for students who are residents of the state of Colorado enrolled in Leeds and will have financial need as demonstrated by the FAFSA or similar appplication. Preference given first to students from Aspen H.S. and then to any students from Colorado’s Roaring Fork Valley.  In order to receive your scholarship funds you must remain a full-time student in good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionTo provide undergraduate scholarship awards for students who are residents of the state of Colorado enrolled in Leeds and will have financial need as demonstrated by the FAFSA or similar appplication. Preference given first to students from Aspen H.S. and then to any students from Colorado’s Roaring Fork Valley.  In order to receive your scholarship funds you must remain a full-time student in good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,Varies ,03/15/2024
Lillian Gutierrez Scholarship ,https://colorado.academicworks.com/opportunities/23250 ,School of Education, In 1987 then-Congressman David Skaggs created an endowment in honor of Lillian Gutierrez with the purpose of supporting students in the teacher education program. Gutierrez a native Coloradan is recognized as one of the leading Hispanic educators in the State of Colorado. Her life and career exemplify courage discipline and self-improvement. Eligible students have a desire to work with people of diverse cultural and economic backgrounds. Preference will be given to students demonstrating financial need.In 1987 then-Congressman David Skaggs created an endowment in honor of Lillian Gutierrez with the purpose of supporting students in the teacher education program. Gutierrez a native Coloradan is recognized as one of the leading Hispanic educators in the State of Colorado. Her life and career exemplify courage discipline and self-improvement. Eligible students have a desire to work with people of diverse cultural and economic backgrounds. Preference will be given to students demonstrating financial need. ,True,$1500.00 ,03/15/2024
Lilly Family Scholarship ,https://colorado.academicworks.com/opportunities/23285 ,None," In honor of Michael Lilly and the Lilly family legacy the Lilly Family Scholarship was established to provide undergraduate scholarship awards for students enrolled at the University of Colorado Boulder. Preference may be given (in order of priority) to applicants with the last name Lilly (with two ""L""s) applicants pursuing a degree in Engineering or applicants with a “B” average (or equivalent); additional preference may be given to any applicant who enjoys snow skiing fencing playing Bridge or swimming.In honor of Michael Lilly and the Lilly family legacy the Lilly Family Scholarship was established to provide undergraduate scholarship awards for students enrolled at the University of Colorado Boulder. Preference may be given (in order of priority) to applicants with the last name Lilly (with two ""L""s) applicants pursuing a degree in Engineering or applicants with a “B” average (or equivalent); additional preference may be given to any applicant who enjoys snow skiing fencing playing Bridge or swimming. ",True,$2000.00 ,03/15/2024
Linda Browning Memorial Scholarship ,https://colorado.academicworks.com/opportunities/22941 ,None, Linda Browning was a long-time employee and supporter of the University of Colorado Boulder. She worked tirelessly to improve the campus and her community and she made a positive and lasting impact in the lives of everyone she knew. The Linda Browning Memorial Scholarship in recognition of her contributions is a one-time award available to incoming freshmen Colorado residents who are first generation students and demonstrate financial need.Linda Browning was a long-time employee and supporter of the University of Colorado Boulder. She worked tirelessly to improve the campus and her community and she made a positive and lasting impact in the lives of everyone she knew. The Linda Browning Memorial Scholarship in recognition of her contributions is a one-time award available to incoming freshmen Colorado residents who are first generation students and demonstrate financial need. ,True,$1000.00 ,03/15/2024
Linda Embree Scholarship ,https://colorado.academicworks.com/opportunities/23088 ,Leeds School of Business, The Linda Embree Scholarship is awarded to an incoming Leeds student from the State of Colorado who is involved with one of Leeds’ End the Gap programs or enrolled in the Diverse Scholars Program. In order to receive your scholarship funds you must remain a full-time student in good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Linda Embree Scholarship is awarded to an incoming Leeds student from the State of Colorado who is involved with one of Leeds’ End the Gap programs or enrolled in the Diverse Scholars Program. In order to receive your scholarship funds you must remain a full-time student in good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$1000 ,03/15/2024
Lloyd and Lura Long Scholarship ,https://colorado.academicworks.com/opportunities/22429 ,Leeds School of Business, The Lloyd and Lura Long Scholarship is given to an incoming freshman with high academic merit  and financial need.  In order to receive your scholarship funds you must remain a full-time student in good academic standing. All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements. If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-questionThe Lloyd and Lura Long Scholarship is given to an incoming freshman with high academic merit  and financial need.  In order to receive your scholarship funds you must remain a full-time student in good academic standing.All first-time freshmen admitted to Leeds School of Business are automatically considered for Leeds-based scholarships at time of admission. Please be sure to fill out the CU Boulder Scholarship Application between November 1st and the March deadline for campus-based opportunities. Reviews for current student scholarships begin once spring grades post in mid-May and students will be notified of awards received no later than July 1st. You must remain a Leeds student to maintain eligibility for your awards along with any other scholarship-specific requirements.If you have any questions regarding Leeds scholarships please contact LeedsBizScholarships@Colorado.edu If you have questions regarding campus based opportunities please contact the Office of Financial Aid at https://www.colorado.edu/scholarships/ask-us-question ,True,$3500 ,03/15/2024
Logan Cruz Byron Endowed Fund for Student Excellence ,https://colorado.academicworks.com/opportunities/24804 ,None, The Logan Cruz Byron Endowed Fund for Student Excellence provides undergraduate and/or graduate scholarship awards for students enrolled at the University of Colorado Boulder. Qualified applicants will be pursuing a degree in either economics or business and will have and maintain a minimum GPA of at least 3.0. Preference is given in order to 1) applicants who are members of Alpha Rho Chapter of Delta Sigma Pi business fraternity; 2) applicants who are currently or who have been officers of Alpha Rho; 3) applicants who demonstrate financial need; and 4) applicants who are first generation in their family to attend college. For consideration students must:  Complete the CU Boulder General Scholarship Application by the deadline Complete the supplemental questions for this scholarship opportunity by the deadline  The scholarship is a one-year award and is not renewable.The Logan Cruz Byron Endowed Fund for Student Excellence provides undergraduate and/or graduate scholarship awards for students enrolled at the University of Colorado Boulder. Qualified applicants will be pursuing a degree in either economics or business and will have and maintain a minimum GPA of at least 3.0. Preference is given in order to 1) applicants who are members of Alpha Rho Chapter of Delta Sigma Pi business fraternity; 2) applicants who are currently or who have been officers of Alpha Rho; 3) applicants who demonstrate financial need; and 4) applicants who are first generation in their family to attend college.For consideration students must: Complete the CU Boulder General Scholarship Application by the deadline Complete the supplemental questions for this scholarship opportunity by the deadline The scholarship is a one-year award and is not renewable. ,False,Approx.$2000 ,03/15/2024
Longley Wahlstrom Warner Fellowship ,https://colorado.academicworks.com/opportunities/24190 ,College of Arts & Sciences, The Longley Wahlstrom Warner Fellowship in Geological Sciences provides awards for outstanding Geological Sciences Graduate Students. To be eligible for consideration applicants must:  Complete the CU Boulder General Scholarship Application.  This application is for the 2024-2025 awarding cycle. Recipients from this applicant pool will be awarded in the 2024-2025 academic year.The Longley Wahlstrom Warner Fellowship in Geological Sciences provides awards for outstanding Geological Sciences Graduate Students.To be eligible for consideration applicants must: Complete the CU Boulder General Scholarship Application. This application is for the 2024-2025 awarding cycle. Recipients from this applicant pool will be awarded in the 2024-2025 academic year. ,True,$0.00 ,03/15/2024
Lorraine Nelson Herrick Scholarship in Arts and Sciences ,https://colorado.academicworks.com/opportunities/23303 ,College of Arts & Sciences, The Lorraine Nelson Herrick Scholarship is awarded to students who meet the following criteria:  Incoming first-year or current undergraduate or graduate enrolled full-time with a declared major in the College of Arts & Sciences. Has a demonstrated disability. Demonstrated academic merit. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  Colorado residents students with multiple sclerosis and those with a declared major in anthropology are encouraged to apply.The Lorraine Nelson Herrick Scholarship is awarded to students who meet the following criteria: Incoming first-year or current undergraduate or graduate enrolled full-time with a declared major in the College of Arts & Sciences. Has a demonstrated disability. Demonstrated academic merit. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. Colorado residents students with multiple sclerosis and those with a declared major in anthropology are encouraged to apply. ,False,$2000-$3000 ,03/15/2024
Lorrie Shepard Scholarship ,https://colorado.academicworks.com/opportunities/23251 ,School of Education, This scholarship was established by the CU Boulder community to honor Distinguished Professor and Dean Emerita Lorrie Shepard.  In her 40+ years on the faculty and 15 years as dean Professor Shepard championed the critical importance of public education and strong teachers to ensure a more equitable and socially just world.  It is her wish that this scholarship be used to recruit an accomplished and dedicated candidate into teaching.  Preference will be given to those committed to working with under-served students especially in rural and urban communities.  Bilingual candidates students of color and/or first-generation college students are especially encouraged to apply; however an applicant’s race/ethnicity will not be considered a factor in the selection process.This scholarship was established by the CU Boulder community to honor Distinguished Professor and Dean Emerita Lorrie Shepard.  In her 40+ years on the faculty and 15 years as dean Professor Shepard championed the critical importance of public education and strong teachers to ensure a more equitable and socially just world.  It is her wish that this scholarship be used to recruit an accomplished and dedicated candidate into teaching.  Preference will be given to those committed to working with under-served students especially in rural and urban communities.  Bilingual candidates students of color and/or first-generation college students are especially encouraged to apply; however an applicant’s race/ethnicity will not be considered a factor in the selection process. ,True,$2000.00 ,03/15/2024
Los Seis Memorial Scholarship Fund ,https://colorado.academicworks.com/opportunities/21050 ,School of Education, This scholarship exists in honor and memory of Una Jaakola Reyes Martínez and Neva Romero who died on May 27 1974 after a car bomb exploded at Chautauqua Park and Francisco Dougherty Heriberto Terán and Florencio Granado who died on May 29 1974 after a second car bomb exploded near 28th and Canyon also injuring Antonio Alcántar. These individuals were fighting for parity representation and inclusion of Chicano students and other students of color at CU Boulder. The intent of the Fund is to support any student whose background would bring economic racial or ethnic parity representation to the student body at CU Boulder. To qualify students must be a part of one of the following: Aquetza BUENO (Bilinguals United for Education and New Opportunities) UMAS y MECHA (United Mexican American Students y Movimiento Estudiantil Chicano de Aztlan) MLS (Multicultural Leadership Scholars) EDS (Education Diversity Scholars Program) Ethnic Studies Major Gender and Women’s Studies Majors. Qualified applicants must also have a minimum GPA of 2.8 and must demonstrate financial need.This scholarship exists in honor and memory of Una Jaakola Reyes Martínez and Neva Romero who died on May 27 1974 after a car bomb exploded at Chautauqua Park and Francisco Dougherty Heriberto Terán and Florencio Granado who died on May 29 1974 after a second car bomb exploded near 28th and Canyon also injuring Antonio Alcántar. These individuals were fighting for parity representation and inclusion of Chicano students and other students of color at CU Boulder. The intent of the Fund is to support any student whose background would bring economic racial or ethnic parity representation to the student body at CU Boulder.To qualify students must be a part of one of the following: Aquetza BUENO (Bilinguals United for Education and New Opportunities) UMAS y MECHA (United Mexican American Students y Movimiento Estudiantil Chicano de Aztlan) MLS (Multicultural Leadership Scholars) EDS (Education Diversity Scholars Program) Ethnic Studies Major Gender and Women’s Studies Majors. Qualified applicants must also have a minimum GPA of 2.8 and must demonstrate financial need. ,False,Varies ,03/15/2024
Lou Ann Bergen Endowed Scholarship Fund ,https://colorado.academicworks.com/opportunities/22828 ,College of Media Communication and Information, The Lou Ann Bergen Scholarship was established in 2018 by Kim and Eric Belcher (Advert’79) in honor of Lori Bergen CMCI’s founding dean and in memory of Dean Bergen’s mother Lou Ann Bergen. Lou Ann was born in 1929 and graduated from Marquette (KS) High School and Bethany College. After college Lou Ann married her husband Richard and had two children. She worked in Kansas public schools as a teacher and a librarian and earned a master’s degree in library science from Kansas State University in 1983. Lou Ann passed away in 2018.The Lou Ann Bergen Scholarship was established in 2018 by Kim and Eric Belcher (Advert’79) in honor of Lori Bergen CMCI’s founding dean and in memory of Dean Bergen’s mother Lou Ann Bergen. Lou Ann was born in 1929 and graduated from Marquette (KS) High School and Bethany College. After college Lou Ann married her husband Richard and had two children. She worked in Kansas public schools as a teacher and a librarian and earned a master’s degree in library science from Kansas State University in 1983. Lou Ann passed away in 2018. ,True,$1000.00 ,03/15/2024
Louis F and Jean H Bein Scholarship ,https://colorado.academicworks.com/opportunities/22610 ,None, The Louis F. and Jean H. Bein Scholarship is a one-year award for entering freshmen graduating from Berthoud High School in Berthoud CO. Selection is based on academic merit and financial need. Louis Bein had deep family roots in Berthoud CO and served two terms as Regent of the University of Colorado. This scholarship was established by family and friends to honor his many contributions to Berthoud and the state of Colorado. To be eligible for consideration students must:  Complete the CU Boulder General Scholarship Application by the deadline Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Submit two letters of recommendation from high school teacher or counselor The Louis F. and Jean H. Bein Scholarship is a one-year award for entering freshmen graduating from Berthoud High School in Berthoud CO. Selection is based on academic merit and financial need. Louis Bein had deep family roots in Berthoud CO and served two terms as Regent of the University of Colorado. This scholarship was established by family and friends to honor his many contributions to Berthoud and the state of Colorado.To be eligible for consideration students must: Complete the CU Boulder General Scholarship Application by the deadline Have a completed FAFSA/CASFA  Demonstrate financial need as determined by the FAFSA/CASFA  Submit two letters of recommendation from high school teacher or counselor  ,False,$700.00 ,03/15/2024
Louise L Noble Scholarship ,https://colorado.academicworks.com/opportunities/22612 ,None, The Louise L. Noble Scholarship is available to incoming fall Transfer students and awarded based on both financial need and merit. Prospective Transfer students do not need to be admitted to apply but will need to be admitted to be considered. These are one-time one-year only awards. To be eligible for consideration students must:  Complete the CU Boulder General Scholarship Application by June 15 Have a completed FAFSA/CASFA application by June 15 Demonstrate financial need as determined by the FAFSA/CASFA  Have 24-90 credit hours accepted by CU Boulder  The selection process is highly competitive and award offers are not guaranteed. Only students selected to receive a scholarship will be notified by email by August 1.The Louise L. Noble Scholarship is available to incoming fall Transfer students and awarded based on both financial need and merit. Prospective Transfer students do not need to be admitted to apply but will need to be admitted to be considered. These are one-time one-year only awards.To be eligible for consideration students must: Complete the CU Boulder General Scholarship Application by June 15 Have a completed FAFSA/CASFA application by June 15 Demonstrate financial need as determined by the FAFSA/CASFA  Have 24-90 credit hours accepted by CU Boulder The selection process is highly competitive and award offers are not guaranteed. Only students selected to receive a scholarship will be notified by email by August 1. ,True,Varies ,03/15/2024
Lucile Berkeley Buchanan Endowed Arts and Sciences Fellows' Fund ,https://colorado.academicworks.com/opportunities/22897 ,College of Arts & Sciences, The Lucile Berkeley Buchanan Endowed Arts & Sciences Fellows Fund is awarded to students who meet the following criteria:  Incoming first-year transfer or current undergraduate or graduate enrolled full-time with a declared major in the College of Arts & Sciences. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  Preference is given to students committed to broadening participation in multicultural and diversity-focused programs and those dedicated to honoring Lucile Berkeley Buchanan’s legacy. This scholarship is awarded in honor and memory of Lucile Berkeley Buchanan the first African American woman to graduate from the University of Colorado on June 5 1918.The Lucile Berkeley Buchanan Endowed Arts & Sciences Fellows Fund is awarded to students who meet the following criteria: Incoming first-year transfer or current undergraduate or graduate enrolled full-time with a declared major in the College of Arts & Sciences. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. Preference is given to students committed to broadening participation in multicultural and diversity-focused programs and those dedicated to honoring Lucile Berkeley Buchanan’s legacy. This scholarship is awarded in honor and memory of Lucile Berkeley Buchanan the first African American woman to graduate from the University of Colorado on June 5 1918. ,False,$1000-$2000 ,03/15/2024
Lucile Berkeley Buchanan Scholarship in Women and Gender Studies ,https://colorado.academicworks.com/opportunities/22256 ,College of Arts & Sciences, The Lucile Berkeley Buchanan Scholarship is awarded to students in the Department of Women and Gender Studies who meet the following criteria:  Current undergraduate with a major in Women and Gender Studies. Cumulative GPA of 3.0 or higher. Must be making regular progress toward degree completion. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline.  Students must demonstrate a commitment to social justice in an essay of approximately 250 words. Preference will be given to a first-generation college student (please indicate in your essay). This scholarship was established in honor of Lucile Berkeley Buchanan the first African American female graduate of the University of Colorado Boulder who earned her degree in 1918.The Lucile Berkeley Buchanan Scholarship is awarded to students in the Department of Women and Gender Studies who meet the following criteria: Current undergraduate with a major in Women and Gender Studies. Cumulative GPA of 3.0 or higher. Must be making regular progress toward degree completion. Complete the CU Boulder General Scholarship Application. Complete this scholarship application by the deadline. Students must demonstrate a commitment to social justice in an essay of approximately 250 words. Preference will be given to a first-generation college student (please indicate in your essay). This scholarship was established in honor of Lucile Berkeley Buchanan the first African American female graduate of the University of Colorado Boulder who earned her degree in 1918. ,False,$1500-$2000 ,03/15/2024
Luke Dunivant Scholarship ,https://colorado.academicworks.com/opportunities/22628 ,School of Education, The Luke Dunivant Endowed Scholarship Fund was established in 2012 in loving memory of Luke Dunivant with the purpose of assisting graduate students who intend to become secondary social studies or psychology teachers. Luke received his Master’s in Education from CU Boulder in 2000 and taught history at Arvada West High School. This scholarship was established by Luke’s wife Denise and his parents Chris and Robert Dunivant and is supported by his brother Todd. Eligible students must be graduate students in the School of Education. Preference will be given to those who intend to become secondary social studies or psychology teachers.The Luke Dunivant Endowed Scholarship Fund was established in 2012 in loving memory of Luke Dunivant with the purpose of assisting graduate students who intend to become secondary social studies or psychology teachers. Luke received his Master’s in Education from CU Boulder in 2000 and taught history at Arvada West High School. This scholarship was established by Luke’s wife Denise and his parents Chris and Robert Dunivant and is supported by his brother Todd. Eligible students must be graduate students in the School of Education. Preference will be given to those who intend to become secondary social studies or psychology teachers. ,True,$1000.00 ,03/15/2024
